work_id;m.aterial_id;consumption_per_work_unit;waste_coeff
w.230;m.876;1;1.0
w.230;m.1021;1;1.0
w.230;m.1025;1;1.0
w.231;m.538;1;1.0
w.231;m.630;1;1.0
w.231;m.875;1;1.0
w.231;m.876;1;1.0
w.231;m.1021;1;1.0
w.231;m.1025;1;1.0
w.232;m.538;1;1.0
w.232;m.630;1;1.0
w.232;m.875;1;1.0
w.232;m.876;1;1.0
w.232;m.1021;1;1.0
w.232;m.1025;1;1.0
w.233;m.538;1;1.0
w.233;m.630;1;1.0
w.233;m.875;1;1.0
w.233;m.876;1;1.0
w.233;m.1021;1;1.0
w.233;m.1025;1;1.0
w.234;m.551;1;1.0
w.234;m.1018;1;1.0
w.234;m.395;1;1.0
w.235;m.538;1;1.0
w.235;m.630;1;1.0
w.235;m.875;1;1.0
w.235;m.876;1;1.0
w.235;m.1021;1;1.0
w.235;m.1025;1;1.0
w.236;m.538;1;1.0
w.236;m.630;1;1.0
w.236;m.875;1;1.0
w.236;m.876;1;1.0
w.236;m.1021;1;1.0
w.236;m.1025;1;1.0
w.237;m.538;1;1.0
w.237;m.630;1;1.0
w.237;m.875;1;1.0
w.237;m.876;1;1.0
w.237;m.1021;1;1.0
w.237;m.1025;1;1.0
w.238;m.538;1;1.0
w.238;m.630;1;1.0
w.238;m.875;1;1.0
w.238;m.876;1;1.0
w.238;m.1021;1;1.0
w.238;m.1025;1;1.0
w.239;m.538;1;1.0
w.239;m.630;1;1.0
w.239;m.875;1;1.0
w.239;m.876;1;1.0
w.239;m.1021;1;1.0
w.239;m.1025;1;1.0
w.240;m.543;1;1.0
w.240;m.873;1;1.0
w.240;m.1021;1;1.0
w.240;m.1025;1;1.0
w.240;m.984;1;1.0
w.240;m.395;1;1.0
w.241;m.1015;1;1.0
w.241;m.1013;1;1.0
w.242;m.925;1;1.0
w.242;m.444;1;1.0
w.243;m.492;1;1.0
w.243;m.1015;1;1.0
w.243;m.1013;1;1.0
w.244;m.633;1;1.0
w.244;m.917;1;1.0
w.244;m.456;1;1.0
w.245;m.633;1;1.0
w.245;m.917;1;1.0
w.245;m.456;1;1.0
w.246;m.633;1;1.0
w.246;m.917;1;1.0
w.246;m.456;1;1.0
w.247;m.607;1;1.0
w.247;m.605;1;1.0
w.247;m.606;1;1.0
w.247;m.603;1;1.0
w.247;m.604;1;1.0
w.249;m.633;1;1.0
w.249;m.917;1;1.0
w.249;m.456;1;1.0
w.251;m.438;1;1.0
w.251;m.436;1;1.0
w.251;m.386;1;1.0
w.251;m.527;1;1.0
w.251;m.392;1;1.0
w.252;m.440;1;1.0
w.252;m.386;1;1.0
w.253;m.422;1;1.0
w.253;m.744;1;1.0
w.253;m.525;1;1.0
w.254;m.870;1;1.0
w.254;m.1002;1;1.0
w.254;m.471;1;1.0
w.254;m.855;1;1.0
w.255;m.746;1;1.0
w.255;m.795;1;1.0
w.255;m.983;1;1.0
w.255;m.648;1;1.0
w.255;m.629;1;1.0
w.255;m.471;1;1.0
w.255;m.847;1;1.0
w.255;m.375;1;1.0
w.256;m.746;1;1.0
w.256;m.795;1;1.0
w.256;m.983;1;1.0
w.256;m.648;1;1.0
w.256;m.629;1;1.0
w.256;m.471;1;1.0
w.256;m.847;1;1.0
w.256;m.375;1;1.0
w.257;m.521;1;1.0
w.257;m.746;1;1.0
w.258;m.521;1;1.0
w.258;m.746;1;1.0
w.258;m.795;1;1.0
w.258;m.983;1;1.0
w.258;m.648;1;1.0
w.258;m.629;1;1.0
w.258;m.471;1;1.0
w.258;m.847;1;1.0
w.258;m.375;1;1.0
w.259;m.823;1;1.0
w.259;m.593;1;1.0
w.259;m.688;1;1.0
w.260;m.648;1;1.0
w.260;m.650;1;1.0
w.261;m.868;1;1.0
w.261;m.746;1;1.0
w.261;m.795;1;1.0
w.261;m.983;1;1.0
w.261;m.629;1;1.0
w.261;m.471;1;1.0
w.261;m.847;1;1.0
w.261;m.375;1;1.0
w.261;m.424;1;1.0
w.261;m.1025;1;1.0
w.261;m.647;1;1.0
w.262;m.423;1;1.0
w.262;m.744;1;1.0
w.262;m.527;1;1.0
w.262;m.669;1;1.0
w.262;m.386;1;1.0
w.263;m.1025;1;1.0
w.263;m.647;1;1.0
w.264;m.923;1;1.0
w.264;m.980;1;1.0
